dimension,cohort,strategy_name,strategy_version,status,promotion_status,promotion_reason,execution_basis,probability_scored_events,probability_scored_markets,independent_city_date_clusters,eligible_signals,directional_signal_wins,directional_signal_losses,directional_signal_voids,directional_win_rate,directional_win_rate_ci_low,directional_win_rate_ci_high,no_trade_events,submitted_paper_orders,filled_paper_orders,settled_trades,wins,losses,voids,win_rate,win_rate_ci_low,win_rate_ci_high,brier_score,market_brier_score,model_event_count,market_event_count,common_event_count,excluded_model_events,excluded_market_events,exclusion_reasons,model_brier_score,calibration_gap,log_loss,gross_pnl,fees,net_pnl,profit_factor,expectancy,maximum_drawdown,training_period,validation_period,holdout_result,model_weight,market_weight,edge_threshold
city,Minneapolis,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,2,0,0,1.0,0.34237195288961925,1.0,0,0,0,0,0,0,0,,,,0.1542475509834699,0.13970833333333335,12,12,12,0,0,none,0.1542475509834699,0.21662220402879062,0.4672780702437372,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
city,NYC,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,0,0,0,0,0,0,0,,,,0.17958252705477176,0.129475,12,12,12,0,0,none,0.17958252705477176,0.27023424692653963,0.4824186834866511,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
city,New Orleans,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,0,0,0,0,0,0,0,,,,0.08680710600464618,0.1212625,12,12,12,0,0,none,0.08680710600464618,0.09338919923136632,0.2699124986049769,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
city,Oklahoma City,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,0,2,0,0.0,0.0,0.6576280471103807,0,0,0,0,0,0,0,,,,0.19645223133289233,0.10383333333333332,12,12,12,0,0,none,0.19645223133289233,0.30947165536131227,0.663296618936456,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
city,Philadelphia,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,0,0,0,0,0,0,0,,,,0.1143850132885626,0.09380833333333333,12,12,12,0,0,none,0.1143850132885626,0.10398437050658317,0.33541907607539523,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
city,Phoenix,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,0,0,0,0,0,0,0,,,,0.14116535146292647,0.10953541666666665,12,12,12,0,0,none,0.14116535146292647,0.14984203190697948,0.42216085000026554,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
city,San Antonio,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,0,2,0,0.0,0.0,0.6576280471103807,0,0,0,0,0,0,0,,,,0.11012637236755829,0.08511458333333334,12,12,12,0,0,none,0.11012637236755829,0.09521984179468476,0.3263768935245705,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
city,San Francisco,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,2,0,0,1.0,0.34237195288961925,1.0,0,0,0,0,0,0,0,,,,0.0640451282805526,0.14859583333333334,12,12,12,0,0,none,0.0640451282805526,0.13901768729104327,0.19433841030824422,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
city,Seattle,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,2,0,0,1.0,0.34237195288961925,1.0,0,0,0,0,0,0,0,,,,0.09955805340768169,0.11805416666666667,12,12,12,0,0,none,0.09955805340768169,0.08607689870561218,0.2929951740702906,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
city,Washington DC,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,0,0,0,0,0,0,0,,,,0.11698372165331801,0.1732145833333333,12,12,12,0,0,none,0.11698372165331801,0.13955488005722688,0.33531535979599236,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
